date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-10-01,29.1,25,32.8,0,,309,13,,1004.5,542
2015-10-02,28.4,25,32.8,0,,307,12.2,,,330
2015-10-03,27.6,23.9,31.1,0,,280,15.8,,1001.9,530
2015-10-04,26.3,21.7,30.6,0,,,13,,1006.3,488
2015-10-05,25.8,22.2,30.6,2.5,,,12.2,,1009,488
2015-10-06,26.3,22.8,29.4,0,,229,9.4,,1012.1,248
2015-10-07,26.1,23.9,31.1,5.1,,,5.8,,1014,127
2015-10-08,26.3,23.9,31.1,3.3,,,5.8,,1015.3,275
2015-10-09,27.4,24.4,31.7,8.1,,,7.2,,,220
2015-10-10,27.9,23.9,32.2,0.3,,250,9.7,,1014.3,435
2015-10-11,27.1,24.4,30,0,,,7.6,,1012.2,214
2015-10-12,26.7,23.9,31.1,0,,,6.8,,1012.6,425
2015-10-13,26.4,22.2,31.1,35.8,,,5.8,,1014.2,194
2015-10-14,26.3,22.8,32.2,0,,,4.7,,1015,194
2015-10-15,27.4,25,31.1,0,,,10.8,,1015.9,115
2015-10-16,27,23.9,28.3,9.9,,64,13.7,,1016.6,0
2015-10-17,26.1,24.4,28.9,0,,33,11.2,,1016.2,
2015-10-18,25.8,21.7,29.4,31.8,,,13.7,,1017,137
2015-10-19,25.6,22.8,28.9,2.5,,,24.1,,1019.2,109
2015-10-20,25.9,24.4,28.9,0,,61,22.7,,1019,181
2015-10-21,26.8,24.4,30,0.3,,61,18.7,,1018.7,309
2015-10-22,26.2,22.2,29.4,3.3,,50,15.8,,,322
2015-10-23,25.6,23.3,28.9,4.6,,,13.7,,1016.2,129
2015-10-24,25.7,22.8,29.4,4.6,,64,14.8,,1016.4,136
2015-10-25,25.9,23.3,29.4,0,,92,17.6,,1016.2,189
2015-10-26,25.9,23.9,29.4,0,,105,19.1,,1015.7,323
2015-10-27,26.7,25,29.4,0.3,,128,16.6,,1015.1,175
2015-10-28,25.9,23.3,27.2,1.8,,160,11.2,,1014.4,0
2015-10-29,26.6,23.3,31.7,0.3,,,5.4,,1013.8,150
2015-10-30,26.8,23.9,31.7,0,,,6.1,,1014.9,135
2015-10-31,26.3,24.4,28.9,5.1,,,10.4,,1016.3,147
2015-11-01,27.2,24.4,30.6,0,,115,11.2,,1016.3,324
2015-11-02,27.4,25,30.6,0,,118,13.7,,1015.5,319
2015-11-03,27.3,23.9,30.6,0,,,13,,1016.3,351
2015-11-04,27.6,25,31.1,5.6,,,17.6,,1018.2,246
2015-11-05,27.4,26.1,30,0,,77,21.2,,1019.2,192
2015-11-06,27.1,24.4,30,6.6,,81,15.8,,1018.5,303
2015-11-07,27.3,25.6,30.6,0.3,,109,16.9,,1017.4,332
2015-11-08,27.7,26.1,30.6,0,,116,14.4,,1016.4,323
2015-11-09,27.6,25,31.1,0,,,10.1,,1016.3,426
2015-11-10,27.1,23.3,31.7,0.5,,,6.1,,1016.5,287
2015-11-11,26.8,23.3,31.1,0,,,6.5,,1016.4,227
2015-11-12,26.8,23.3,30.6,0,,,8.6,,1016.2,99
2015-11-13,27.3,24.4,31.1,1.3,,,8.3,,1015.7,272
2015-11-14,24.5,21.7,26.1,85.6,,,10.4,,,21
2015-11-15,23.8,21.7,25.6,19.6,,54,16.9,,1020.7,0
2015-11-16,24.8,22.8,26.7,1.3,,65,15.1,,1018.9,0
2015-11-17,25.3,22.2,29.4,1,,81,22,,1016.1,125
2015-11-18,27,25.6,29.4,6.1,,106,25.2,,1015.9,88
2015-11-19,26.7,25,29.4,0.3,,,14.4,,1016.6,13
2015-11-20,25.8,22.8,30,0,,,9.7,,1014.9,41
2015-11-21,25.3,20.6,28.3,24.1,,,7.6,,1013.3,1
